,Date,Time,Station,CAPE,CIN
0,1992-05-01,12,UIL,0.0 joule / kilogram,0.0 joule / kilogram
1,1992-05-01,12,MFR,0.0 joule / kilogram,0.0 joule / kilogram
2,1992-05-01,12,BOI,0.0 joule / kilogram,0.0 joule / kilogram
3,1992-05-01,12,OAK,0.0 joule / kilogram,0.0 joule / kilogram
4,1992-05-01,12,NKX,0.0 joule / kilogram,0.0 joule / kilogram
5,1992-05-01,12,GGW,0.0 joule / kilogram,0.0 joule / kilogram
6,1992-05-01,12,RAP,0.0 joule / kilogram,0.0 joule / kilogram
7,1992-05-01,12,SLC,0.0 joule / kilogram,0.0 joule / kilogram
8,1992-05-01,12,GJT,0.0 joule / kilogram,0.0 joule / kilogram
9,1992-05-01,12,TUS,0.0 joule / kilogram,0.0 joule / kilogram
10,1992-05-01,12,BIS,0.0 joule / kilogram,0.0 joule / kilogram
11,1992-05-01,12,WPL,0.0 joule / kilogram,0.0 joule / kilogram
12,1992-05-01,12,INL,0.0 joule / kilogram,0.0 joule / kilogram
13,1992-05-01,12,YMO,0.0 joule / kilogram,0.0 joule / kilogram
14,1992-05-01,12,GRB,0.0 joule / kilogram,0.0 joule / kilogram
15,1992-05-01,12,LBF,0.0 joule / kilogram,0.0 joule / kilogram
16,1992-05-01,12,DDC,0.0 joule / kilogram,0.0 joule / kilogram
17,1992-05-01,12,TOP,0.0 joule / kilogram,0.0 joule / kilogram
18,1992-05-01,12,AMA,0.0 joule / kilogram,0.0 joule / kilogram
19,1992-05-01,12,OUN,0.0 joule / kilogram,0.0 joule / kilogram
20,1992-05-01,12,MAF,0.0 joule / kilogram,0.0 joule / kilogram
21,1992-05-01,12,DRT,1.6186579665749459 joule / kilogram,-0.000205546043271662 joule / kilogram
22,1992-05-01,12,CRP,64.31761931476149 joule / kilogram,-510.5340898267352 joule / kilogram
23,1992-05-01,12,ADN,724.0380528379768 joule / kilogram,-0.0005198779389905872 joule / kilogram
24,1992-05-01,12,BRO,0.0 joule / kilogram,0.0 joule / kilogram
25,1992-05-01,12,LZK,0.0 joule / kilogram,0.0 joule / kilogram
26,1992-05-01,12,LCH,519.048953338737 joule / kilogram,-2.82778016051379 joule / kilogram
27,1992-05-01,12,JAN,0.0 joule / kilogram,0.0 joule / kilogram
28,1992-05-01,12,LIX,0.0 joule / kilogram,0.0 joule / kilogram
29,1992-05-01,12,BNA,0.0 joule / kilogram,0.0 joule / kilogram
30,1992-05-01,12,TLH,0.0 joule / kilogram,0.0 joule / kilogram
31,1992-05-01,12,WMW,0.0 joule / kilogram,0.0 joule / kilogram
32,1992-05-01,12,BUF,0.0 joule / kilogram,0.0 joule / kilogram
33,1992-05-01,12,ALB,46.69239753596076 joule / kilogram,-4.24854436635373 joule / kilogram
34,1992-05-01,12,CAR,1.9630933160395507 joule / kilogram,-0.8661841312239602 joule / kilogram
35,1992-05-01,12,YQI,0.0 joule / kilogram,0.0 joule / kilogram
36,1992-05-01,12,CHH,0.0 joule / kilogram,0.0 joule / kilogram
37,1992-05-01,12,PIT,0.0 joule / kilogram,0.0 joule / kilogram
38,1992-05-01,12,IAD,0.0 joule / kilogram,0.0 joule / kilogram
39,1992-05-01,12,GSO,0.0 joule / kilogram,0.0 joule / kilogram
40,1992-05-01,12,CHS,1854.49462958761 joule / kilogram,-142.0433956431458 joule / kilogram
41,1992-05-01,12,TBW,0.0 joule / kilogram,0.0 joule / kilogram
42,1992-05-01,0,BOI,0.0 joule / kilogram,0.0 joule / kilogram
